0.180	-0.080	-0.220	0.200	0.100	0.020	0.060	0.260	
0.160	-0.100	-0.200	0.180	0.080	0.040	0.040	0.260	
0.140	-0.080	-0.180	0.180	0.100	0.040	0.020	0.260	
0.160	-0.060	-0.160	0.160	0.100	0.040	0.000	0.280	
0.160	-0.080	-0.180	0.140	0.100	0.020	-0.020	0.300	
0.160	-0.100	-0.160	0.160	0.080	0.040	-0.020	0.280	
0.160	-0.120	-0.160	0.180	0.100	0.040	-0.040	0.300	
0.160	-0.120	-0.160	0.200	0.080	0.060	-0.020	0.280	
0.180	-0.140	-0.160	0.220	0.080	0.040	-0.040	0.300	
0.160	-0.140	-0.160	0.200	0.060	0.020	-0.040	0.280	
0.180	-0.160	-0.180	0.180	0.040	0.040	-0.020	0.300	
0.200	-0.160	-0.200	0.180	0.040	0.020	-0.040	0.300	
0.180	-0.160	-0.220	0.180	0.040	0.040	-0.020	0.300	
0.200	-0.160	-0.200	0.200	0.040	0.040	-0.040	0.300	
0.180	-0.160	-0.220	0.220	0.040	0.060	-0.040	0.320	
0.160	-0.160	-0.200	0.200	0.060	0.080	-0.060	0.340	
0.160	-0.140	-0.180	0.220	0.060	0.060	-0.080	0.360	
0.160	-0.120	-0.180	0.240	0.060	0.080	-0.080	0.360	
0.140	-0.100	-0.200	0.260	0.040	0.080	-0.060	0.340	
0.120	-0.120	-0.180	0.260	0.060	0.080	-0.060	0.340	
0.140	-0.100	-0.160	0.240	0.040	0.100	-0.080	0.340	
0.120	-0.120	-0.140	0.220	0.060	0.100	-0.100	0.340	
0.100	-0.100	-0.120	0.200	0.040	0.120	-0.080	0.340	
0.100	-0.080	-0.100	0.180	0.060	0.100	-0.100	0.340	
0.100	-0.100	-0.100	0.200	0.080	0.100	-0.120	0.320	
0.080	-0.100	-0.080	0.220	0.100	0.080	-0.100	0.320	
0.100	-0.120	-0.080	0.240	0.080	0.080	-0.100	0.300	
0.080	-0.120	-0.100	0.260	0.100	0.100	-0.100	0.280	
0.060	-0.100	-0.080	0.260	0.100	0.100	-0.120	0.260	
0.080	-0.080	-0.100	0.260	0.120	0.120	-0.100	0.240	
0.100	-0.080	-0.120	0.260	0.120	0.100	-0.100	0.260	
0.120	-0.060	-0.140	0.240	0.120	0.120	-0.080	0.240	
0.100	-0.080	-0.160	0.240	0.140	0.100	-0.060	0.240	
0.080	-0.060	-0.140	0.240	0.140	0.080	-0.060	0.260	
0.060	-0.080	-0.140	0.240	0.160	0.060	-0.080	0.240	
0.080	-0.060	-0.120	0.260	0.140	0.040	-0.100	0.240	
0.100	-0.080	-0.100	0.260	0.120	0.060	-0.100	0.260	
0.100	-0.060	-0.080	0.240	0.120	0.040	-0.100	0.280	
0.120	-0.080	-0.060	0.220	0.140	0.040	-0.080	0.260	
0.100	-0.100	-0.040	0.240	0.120	0.040	-0.060	0.240	
0.100	-0.120	-0.060	0.220	0.120	0.040	-0.080	0.240	
0.080	-0.140	-0.060	0.200	0.100	0.060	-0.060	0.240	
0.060	-0.160	-0.040	0.180	0.120	0.040	-0.040	0.240	
0.040	-0.180	-0.040	0.180	0.120	0.040	-0.040	0.240	
0.020	-0.180	-0.040	0.200	0.120	0.060	-0.020	0.220	
0.040	-0.160	-0.060	0.220	0.100	0.040	-0.040	0.240	
0.020	-0.140	-0.040	0.200	0.080	0.020	-0.020	0.260	
0.020	-0.120	-0.020	0.200	0.100	0.040	0.000	0.260	
0.000	-0.120	-0.040	0.200	0.100	0.040	0.000	0.260	
0.020	-0.140	-0.060	0.220	0.120	0.040	-0.020	0.240	
0.040	-0.160	-0.080	0.240	0.120	0.060	-0.040	0.220	
0.060	-0.160	-0.060	0.260	0.100	0.080	-0.060	0.240	
0.080	-0.180	-0.040	0.240	0.100	0.080	-0.080	0.260	
0.080	-0.160	-0.020	0.220	0.100	0.060	-0.060	0.260	
0.080	-0.160	0.000	0.220	0.120	0.060	-0.080	0.240	
0.100	-0.140	0.020	0.240	0.120	0.040	-0.080	0.220	
0.120	-0.160	0.000	0.220	0.100	0.060	-0.080	0.220	
0.100	-0.180	-0.020	0.240	0.080	0.060	-0.080	0.240	
0.120	-0.180	-0.040	0.220	0.060	0.060	-0.060	0.240	
0.140	-0.160	-0.020	0.200	0.080	0.060	-0.060	0.220	
0.140	-0.160	0.000	0.220	0.080	0.060	-0.040	0.240	
0.160	-0.180	-0.020	0.240	0.060	0.060	-0.040	0.260	
0.180	-0.200	-0.040	0.220	0.040	0.080	-0.040	0.260	
0.180	-0.180	-0.060	0.240	0.020	0.060	-0.020	0.240	
0.160	-0.160	-0.080	0.260	0.000	0.080	-0.040	0.240	
0.160	-0.140	-0.100	0.280	-0.020	0.100	-0.040	0.260	
0.180	-0.160	-0.100	0.280	-0.040	0.100	-0.020	0.240	
0.160	-0.140	-0.100	0.280	-0.020	0.100	-0.020	0.240	
0.180	-0.120	-0.100	0.260	-0.040	0.100	-0.020	0.220	
0.160	-0.100	-0.120	0.280	-0.040	0.120	-0.020	0.200	
0.140	-0.120	-0.140	0.300	-0.040	0.120	0.000	0.200	
0.160	-0.140	-0.160	0.300	-0.020	0.100	0.020	0.200	
0.180	-0.120	-0.180	0.320	0.000	0.080	0.040	0.180	
0.160	-0.140	-0.200	0.300	0.020	0.060	0.040	0.180	
0.140	-0.120	-0.220	0.300	0.040	0.060	0.060	0.200	
0.160	-0.140	-0.200	0.320	0.060	0.080	0.080	0.220	
0.140	-0.160	-0.180	0.300	0.080	0.080	0.100	0.220	
0.140	-0.180	-0.180	0.280	0.060	0.060	0.100	0.200	
0.120	-0.200	-0.160	0.280	0.060	0.080	0.080	0.180	
0.120	-0.180	-0.180	0.260	0.060	0.060	0.100	0.180	
0.140	-0.200	-0.160	0.240	0.040	0.080	0.120	0.200	
0.120	-0.180	-0.160	0.240	0.020	0.060	0.140	0.200	
0.100	-0.200	-0.180	0.220	0.040	0.080	0.140	0.200	
0.100	-0.220	-0.200	0.240	0.020	0.080	0.120	0.200	
0.120	-0.200	-0.180	0.260	0.000	0.100	0.140	0.180	
0.120	-0.180	-0.200	0.260	0.020	0.120	0.120	0.200	
0.120	-0.200	-0.220	0.260	0.020	0.120	0.140	0.220	
